id,image_id,category_id,segmentation,area,bbox,iscrowd
1,1,1.0,[],7869.0,"[347.0, 188.0, 129.0, 61.0]",0
2,2,1.0,[],8775.0,"[346.0, 191.0, 135.0, 65.0]",0
3,3,1.0,[],8768.0,"[343.0, 192.0, 137.0, 64.0]",0
4,4,88.0,[],315.0,"[623.0, 95.0, 21.0, 15.0]",0
5,4,1.0,[],440.0,"[361.0, 175.0, 22.0, 20.0]",0
6,4,9.0,[],3696.0,"[212.0, 211.0, 66.0, 56.0]",0
7,4,88.0,[],588.0,"[457.0, 152.0, 28.0, 21.0]",0
8,4,11.0,[],2196.0,"[390.0, 60.0, 36.0, 61.0]",0
9,5,119.0,[],744.0,"[530.0, 311.0, 31.0, 24.0]",0
10,5,119.0,[],378.0,"[529.0, 239.0, 27.0, 14.0]",0
11,5,119.0,[],408.0,"[379.0, 183.0, 24.0, 17.0]",0
12,5,37.0,[],2520.0,"[439.0, 157.0, 60.0, 42.0]",0
13,5,51.0,[],629.0,"[505.0, 207.0, 37.0, 17.0]",0
14,5,1.0,[],315.0,"[156.0, 270.0, 21.0, 15.0]",0
15,5,119.0,[],504.0,"[549.0, 268.0, 28.0, 18.0]",0
16,5,119.0,[],456.0,"[517.0, 336.0, 24.0, 19.0]",0
17,6,51.0,[],1173.0,"[335.0, 230.0, 51.0, 23.0]",0
18,6,119.0,[],1344.0,"[400.0, 286.0, 48.0, 28.0]",0
19,6,1.0,[],484.0,"[127.0, 288.0, 22.0, 22.0]",0
20,7,119.0,[],735.0,"[632.0, 231.0, 35.0, 21.0]",0
21,7,88.0,[],210.0,"[246.0, 243.0, 15.0, 14.0]",0
22,7,119.0,[],340.0,"[306.0, 297.0, 20.0, 17.0]",0
23,7,1.0,[],156.0,"[230.0, 250.0, 12.0, 13.0]",0
24,7,119.0,[],425.0,"[498.0, 218.0, 25.0, 17.0]",0
25,8,160.0,[],2744.0,"[238.0, 278.0, 56.0, 49.0]",0
26,8,119.0,[],2816.0,"[483.0, 308.0, 64.0, 44.0]",0
27,8,51.0,[],8938.0,"[517.0, 175.0, 109.0, 82.0]",0
28,8,119.0,[],3655.0,"[179.0, 221.0, 85.0, 43.0]",0
29,8,1.0,[],2142.0,"[0.0, 227.0, 51.0, 42.0]",0
30,9,214.0,[],28359.0,"[1466.0, 909.0, 207.0, 137.0]",0
31,9,214.0,[],10800.0,"[6.0, 498.0, 180.0, 60.0]",0
