id,categories
3b6f01ae-5bde-434d-9b06-79b269421ed6,[1.0]
dce21f7c-20e5-482b-bd90-c038f8464c03,[1.0]
4a7f2199-772d-486d-b8e2-b651246316b5,[1.0]
3bddedf6-4ff8-4e81-876a-564d2b03b364,"[1.0, 9.0, 11.0, 88.0]"
3f735021-f5de-4168-b139-74bf2859d12a,"[1.0, 37.0, 51.0, 119.0]"
130e185f-09c5-490c-8d08-641c4cbf6e54,"[1.0, 51.0, 119.0]"
2eb29244-2d98-42d8-a464-482b390513cc,"[1.0, 88.0, 119.0]"
77959db0-6a8c-475d-9380-60b649ce9359,"[1.0, 51.0, 119.0, 160.0]"
07629244-7227-4b94-a58a-01fee7b1092a,"[1.0, 214.0]"
aeb5813f-fa20-4aa1-9eab-56c508b8f53e,"[1.0, 224.0]"
638707ed-8e75-425a-b7d4-d13be77706f9,"[1.0, 160.0]"
a2ab8ea3-3bf3-4624-8eb7-3a1d33096647,"[1.0, 52.0, 119.0, 146.0]"
e8b62033-c524-4c84-a6d1-1f4a2c2d1e5c,"[1.0, 146.0, 160.0]"
bf866f65-40a1-4924-a94f-048472a0f9d6,"[1.0, 160.0]"
c55a78cc-219e-45a8-8a65-1ce3621dc4ea,"[1.0, 160.0]"
1f845805-c64f-4b3b-8410-8a94b22831e7,"[1.0, 52.0, 219.0, 228.0, 242.0]"
305bf9a8-38bc-44c3-99de-0999001a2a7a,"[1.0, 52.0, 99.0, 100.0, 218.0]"
e3eaaaeb-da4f-4b71-8e7b-c6a10f68a923,"[1.0, 9.0, 119.0, 131.0]"
329469fc-23dc-495a-ad3f-9b39da189698,"[1.0, 9.0]"
13621bd9-9063-45c4-8cd5-0e4d6af41f1f,"[1.0, 9.0, 160.0]"
902b4642-e052-4d33-bfc7-4ed6d4b78a13,"[1.0, 9.0, 51.0, 88.0, 119.0, 211.0]"
02dd52fe-0f78-43f2-b454-f6a77ca314af,"[1.0, 9.0, 51.0, 100.0, 160.0]"
6327ebf7-80b7-412b-aebe-98e8cba1ea6e,"[1.0, 37.0, 52.0, 160.0]"
49b1a85a-1cfb-49e5-b466-7f3903ae8b3f,"[1.0, 160.0]"
36318ba6-d27f-462a-99e7-e26fb65a6d77,"[1.0, 7.0, 108.0, 224.0, 242.0]"
42ebc0b2-46da-41d3-9e69-5dc8a7ed71ab,[1.0]
dd785759-bc5c-4edd-8371-8a20b4c05e3c,"[1.0, 52.0]"
3e64aef0-4e8c-4f7d-8808-b4e4b5d67df8,"[1.0, 160.0]"
a7e7fbf8-4489-4120-9a55-7b7f4dfb29b1,"[1.0, 160.0]"
63eb59af-ebe6-4111-ab97-540c2d6a5ec0,"[1.0, 160.0]"
81a288ce-3a76-4bd0-b755-a1be40050737,"[1.0, 82.0, 160.0]"
da5cde91-54a1-450c-96be-a059aab6ca09,"[1.0, 82.0, 160.0]"
1485754a-1f5f-4107-aa02-2e1563eae537,"[1.0, 160.0]"
f654fc3c-9af3-4075-9f50-7409d8bda6f9,"[1.0, 160.0]"
81183441-a49b-4f09-9549-1b0b9cae4a10,"[1.0, 160.0]"
07b907ca-bf0c-4d18-a9d1-95ad827996f0,"[1.0, 51.0, 211.0]"
e6b26499-222e-4848-8bd8-1a6f663b410c,"[1.0, 52.0, 160.0]"
bae58a0c-5e3a-41f9-90f8-2254bb5137dc,"[1.0, 88.0, 160.0]"
8119e2ac-ca3a-4c3b-9e1c-c7a079a705c8,"[1.0, 146.0]"
f1446097-d86d-42fd-a3ee-8052d58ac104,"[1.0, 160.0]"
26b78626-ee41-4ff2-8517-f3a295366302,"[1.0, 52.0, 142.0]"
a3fcef92-9c95-4e44-a6c6-21e4e0ee7951,"[1.0, 52.0, 146.0, 202.0, 229.0]"
a49e0382-3ffb-43eb-9a8e-d48be9187913,"[1.0, 88.0, 146.0, 211.0]"
6a1656ef-666d-41af-bd2f-5f664f1b15e5,"[1.0, 52.0, 88.0, 125.0, 174.0, 211.0]"
286d6058-1cef-4ea2-8c74-48fbb4e92da9,"[1.0, 116.0, 160.0]"
fe44ec61-2552-4cca-9699-b0cbe4980d3d,"[1.0, 52.0, 146.0, 211.0]"
30be6c64-1f81-44ea-ad16-6ed5e35098a3,[1.0]
b3615f81-2ee3-4c85-a00c-c5d06c2a87ff,"[1.0, 160.0]"
9ced8cad-9c23-43b2-bdf1-13938516efde,"[1.0, 160.0]"
5ace180b-af71-45e0-a11a-6b77fcacb330,"[1.0, 160.0]"
93ad5fcc-fb60-42fc-858b-04e6183d4970,"[1.0, 160.0]"
7e252a13-5747-4a17-a4ef-6cb8ea0e69b7,"[1.0, 160.0]"
1a9c70c9-da38-4b3c-beac-9e9e5acbe26f,"[1.0, 12.0, 16.0, 52.0, 160.0]"
23d5b247-fe26-46e1-ae16-e6340600fec9,"[1.0, 51.0, 119.0]"
8c440cf6-f32a-4493-af83-ed496fb4d30f,"[1.0, 88.0, 119.0, 160.0]"
b5f8e06b-2bbe-4807-aa5c-623171226da6,"[1.0, 37.0, 105.0, 119.0]"
bf32288f-da76-439c-adc9-67d8af4e45db,[1.0]
a693add4-66ee-4757-9c5a-225bded1c3d5,"[1.0, 70.0, 105.0]"
7cc17189-8824-4592-a729-b1681279e1cc,"[1.0, 160.0]"
bfd4ec61-f1e7-4fb6-8668-d3f4d30626a2,"[1.0, 105.0, 146.0]"
447390d7-0477-4598-b523-151ecf7579d4,"[1.0, 52.0, 219.0, 224.0]"
18d7a576-e0ca-45cb-9e50-344a84e3c798,"[1.0, 52.0, 160.0, 219.0, 243.0]"
20ff9851-2e7e-4b67-bc33-a5c2a09a0bed,"[1.0, 9.0, 219.0]"
509cc5f4-9f01-466a-8a3a-dde69223a6b8,"[1.0, 9.0, 52.0, 81.0, 82.0, 119.0]"
74058846-5bf6-4103-8288-daf7d6b1a1b3,"[1.0, 69.0, 81.0, 105.0]"
7bb82247-5314-4766-8d80-bd55744e326f,"[1.0, 3.0, 119.0, 160.0]"
e7cd6e1c-33a6-4c36-b7b1-dbbe88baa14c,"[1.0, 51.0, 160.0]"
81c6f706-7c43-4856-8549-114f1f5fdca0,"[1.0, 9.0, 51.0, 88.0, 119.0, 160.0]"
58e151f1-356e-49cb-8f83-5a197c9dcaf8,"[1.0, 81.0]"
eb46f272-3656-4f48-8708-7a31ddcec62f,"[1.0, 51.0, 52.0, 119.0, 120.0, 146.0, 160.0]"
2de29989-6be2-4924-bc4f-e7504ada9ae8,"[1.0, 52.0]"
9c62f8e2-2d5a-4ad6-bd8d-c41d0aa26f6e,"[1.0, 52.0]"
32475459-f7c6-48d3-a5d5-482b4f1c96de,"[1.0, 69.0, 70.0]"
57e41064-9c7a-4016-a176-8ca8878708fc,"[1.0, 52.0, 174.0, 205.0]"
f1b672b6-ee2c-4b56-a034-edf9ea5365a0,"[1.0, 10.0, 16.0]"
ee9fb858-92e8-47b6-adce-fc3ee5e4a8db,"[1.0, 119.0]"
6678c41d-1ef0-44b8-ae76-917c6dffec86,"[1.0, 160.0]"
88bac314-78b6-4273-b988-8d25965c7ec8,"[1.0, 10.0, 51.0]"
f9dd73b3-f0da-470d-9187-747c228bc143,"[1.0, 242.0]"
1ef62cb0-852b-4228-862f-3b3a5bcbe4f4,"[1.0, 242.0]"
2dee2898-61a1-4739-b9a9-a7925c109a6e,"[1.0, 52.0, 88.0]"
276c2987-6122-4a7d-9c73-29a1c95bf9ab,"[1.0, 99.0]"
55741594-7ed5-4aa6-bc25-3e105ffc563d,"[1.0, 52.0, 125.0, 174.0, 203.0, 205.0, 206.0, 211.0]"
10a3c94c-0dc6-4276-be19-6d5963e4bff8,"[1.0, 37.0, 52.0, 88.0, 100.0, 203.0]"
ce4626c9-d2fc-4714-ac00-5d6080561dc0,"[1.0, 52.0, 160.0, 211.0]"
8faa64a1-27aa-4ee0-8c44-53e0efc8ca6e,"[1.0, 52.0, 124.0, 125.0, 160.0, 211.0]"
01712b3f-eb86-4a5b-876f-284fd44143ee,"[1.0, 52.0, 88.0, 124.0, 125.0, 146.0, 205.0, 211.0]"
50bfde6a-884a-41a1-9105-805840160d30,"[1.0, 52.0, 70.0, 243.0]"
27881b36-1293-4b2e-a4c4-181a7e979623,"[1.0, 9.0, 52.0, 125.0, 146.0, 173.0, 174.0, 203.0, 205.0, 211.0]"
6b3199c1-9ff9-46a9-b92e-3cb09b11cb4e,"[1.0, 162.0, 205.0]"
b8dc007b-8166-492c-8ba5-dd3db8bc684c,"[1.0, 160.0]"
baa60289-6681-4326-aacd-834e652113f7,"[1.0, 116.0]"
1a6a9a54-013b-4455-b98e-94ceaf6f1c26,"[1.0, 52.0]"
7d466bf2-a518-42d4-9739-3684931a8ce5,"[1.0, 37.0, 105.0, 119.0, 146.0]"
aeeac3e3-5c14-4720-b77a-ec53e6af0a4e,"[1.0, 52.0, 146.0]"
d320ec3b-6752-4492-bd14-14b98a24d988,[1.0]
